Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,41.45k km  ,Petrol    ,Manual       ,"5,784/m*"  ,2.60L          ,None   ,             41.45 ,              ,2017 ,     5784.0
Hyundai Verna          ,FLUIDIC 1.6 CRDI SX                ,90.00k km  ,Diesel    ,Manual       ,"20,524/m*" ,2.31L          ,None   ,             90.0  ,              ,2012 ,    20524.0
Hyundai NEW SANTRO     ,SPORTZ MT                          ,4.41k km   ,Petrol    ,Manual       ,"6,139/m*"  ,3.14L          ,None   ,              4.41 ,              ,2020 ,     6139.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,60.00k km  ,Petrol    ,Manual       ,"7,141/m*"  ,2.15L          ,None   ,             60.0  ,              ,2013 ,     7141.0
Hyundai Elite i20      ,MAGNA 1.2                          ,63.90k km  ,Petrol    ,Manual       ,"7,331/m*"  ,3.75L          ,None   ,             63.9  ,              ,2017 ,     7331.0
Hyundai i20 Active     ,1.4 SX                             ,1.1L km    ,Diesel    ,Manual       ,"9,320/m*"  ,4.19L          ,None   ,              1.1  ,              ,2017 ,     9320.0
Hyundai i10            ,MAGNA 1.1                          ,17.90k km  ,Petrol    ,Manual       ,"11,768/m*" ,2.75L          ,2.50L  ,             17.9  ,         2.5  ,2012 ,    11768.0
Hyundai i20            ,MAGNA 1.2                          ,58.70k km  ,Petrol    ,Manual       ,"5,979/m*"  ,2.25L          ,1.80L  ,             58.7  ,         1.8  ,2013 ,     5979.0
Hyundai VENUE          ,SX 1.5 CRDI                        ,45.52k km  ,Diesel    ,Manual       ,"15,836/m*" ,8.32L          ,None   ,             45.52 ,              ,2021 ,    15836.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,82.16k km  ,Petrol    ,Manual       ,"13,327/m*" ,1.50L          ,None   ,             82.16 ,              ,2011 ,    13327.0
Hyundai i10            ,ERA 1.1                            ,36.63k km  ,Petrol    ,Manual       ,"10,780/m*" ,2.29L          ,None   ,             36.63 ,              ,2012 ,    10780.0
Hyundai i10            ,SPORTZ 1.1                         ,55.37k km  ,Petrol    ,Manual       ,"7,663/m*"  ,2.91L          ,None   ,             55.37 ,              ,2014 ,     7663.0
Hyundai VENUE          ,SX 1.2 PETROL                      ,25.69k km  ,Petrol    ,Manual       ,"15,817/m*" ,8.31L          ,None   ,             25.69 ,              ,2022 ,    15817.0
Hyundai VENUE          ,SX PLUS 1.0 TURBO DCT              ,39.76k km  ,Petrol    ,Auto         ,"16,655/m*" ,8.75L          ,None   ,             39.76 ,              ,2022 ,    16655.0
Hyundai i20            ,SPORTZ 1.2                         ,66.20k km  ,Petrol    ,Manual       ,"9,415/m*"  ,2.00L          ,None   ,             66.2  ,              ,2012 ,     9415.0
Hyundai i20            ,SPORTZ 1.2                         ,35.70k km  ,Petrol    ,Manual       ,"10,874/m*" ,2.31L          ,None   ,             35.7  ,              ,2012 ,    10874.0
Hyundai Elite i20      ,MAGNA EXECUTIVE 1.2                ,41.69k km  ,Petrol    ,Manual       ,"7,488/m*"  ,3.83L          ,None   ,             41.69 ,              ,2018 ,     7488.0
Hyundai i20            ,MAGNA 1.2                          ,21.81k km  ,Petrol    ,Manual       ,"11,691/m*" ,3.52L          ,None   ,             21.81 ,              ,2013 ,    11691.0
