Car_Name                    ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI              ,Price_original ,Price
2012 Hyundai i10            ,ERA 1.1                            ,36.63k km  ,Petrol    ,Manual       ,"EMI ₹10,780/m*" ,₹2.29 lakh     ,
2014 Hyundai i10            ,SPORTZ 1.1                         ,55.37k km  ,Petrol    ,Manual       ,"EMI ₹7,663/m*"  ,₹2.91 lakh     ,
2022 Hyundai VENUE          ,SX 1.2 PETROL                      ,25.69k km  ,Petrol    ,Manual       ,"EMI ₹15,817/m*" ,₹8.31 lakh     ,
2022 Hyundai VENUE          ,SX PLUS 1.0 TURBO DCT              ,39.76k km  ,Petrol    ,Auto         ,"EMI ₹16,655/m*" ,₹8.75 lakh     ,
2012 Hyundai i20            ,SPORTZ 1.2                         ,66.20k km  ,Petrol    ,Manual       ,"EMI ₹9,415/m*"  ,₹2.00 lakh     ,
2012 Hyundai i20            ,SPORTZ 1.2                         ,35.70k km  ,Petrol    ,Manual       ,"EMI ₹10,874/m*" ,₹2.31 lakh     ,
2018 Hyundai Elite i20      ,MAGNA EXECUTIVE 1.2                ,41.69k km  ,Petrol    ,Manual       ,"EMI ₹7,488/m*"  ,₹3.83 lakh     ,
2013 Hyundai i20            ,MAGNA 1.2                          ,21.81k km  ,Petrol    ,Manual       ,"EMI ₹11,691/m*" ,₹3.52 lakh     ,
2012 Hyundai i20            ,ASTA 1.2                           ,1.2L km    ,Petrol    ,Manual       ,"EMI ₹11,910/m*" ,₹2.53 lakh     ,
2013 Hyundai i10            ,ERA 1.1                            ,21.30k km  ,Petrol    ,Manual       ,"EMI ₹5,248/m*"  ,₹1.58 lakh     ,
2014 Hyundai i10            ,SPORTZ 1.1                         ,96.56k km  ,Petrol    ,Manual       ,"EMI ₹6,662/m*"  ,₹2.53 lakh     ,
2014 Hyundai Eon            ,SPORTZ                             ,69.31k km  ,Petrol    ,Manual       ,"EMI ₹3,608/m*"  ,₹1.37 lakh     ,
2013 Hyundai i10            ,MAGNA 1.2                          ,39.22k km  ,Petrol    ,Manual       ,"EMI ₹5,281/m*"  ,₹1.59 lakh     ,
2016 Hyundai Elite i20      ,SPORTZ 1.2                         ,67.90k km  ,Petrol    ,Manual       ,"EMI ₹6,999/m*"  ,₹3.58 lakh     ,
2011 Hyundai i20            ,SPORTZ 1.2                         ,99.31k km  ,Petrol    ,Manual       ,"EMI ₹13,949/m*" ,₹1.57 lakh     ,
2013 Hyundai i10            ,ERA 1.1                            ,87.01k km  ,Petrol    ,Manual       ,"EMI ₹4,816/m*"  ,₹1.45 lakh     ,
2012 Hyundai i20            ,SPORTZ 1.2                         ,75.06k km  ,Petrol    ,Manual       ,"EMI ₹6,967/m*"  ,₹1.48 lakh     ,
2013 Hyundai i20            ,MAGNA 1.2                          ,73.10k km  ,Petrol    ,Manual       ,"EMI ₹6,311/m*"  ,₹1.90 lakh     ,
2013 Hyundai i20            ,SPORTZ 1.2                         ,32.56k km  ,Petrol    ,Manual       ,"EMI ₹6,942/m*"  ,₹2.09 lakh     ,
2012 Hyundai i10            ,SPORTZ 1.2 AT                      ,7.55k km   ,Petrol    ,Auto         ,"EMI ₹10,168/m*" ,₹2.16 lakh     ,
2012 Hyundai i20            ,SPORTZ 1.2                         ,61.90k km  ,Petrol    ,Manual       ,"EMI ₹11,721/m*" ,₹2.49 lakh     ,
2017 Hyundai Verna          ,1.6 VTVT SX O                      ,77.19k km  ,Petrol    ,Manual       ,"EMI ₹11,593/m*" ,₹5.93 lakh     ,
2012 Hyundai i10            ,SPORTZ 1.2                         ,46.31k km  ,Petrol    ,Manual       ,"EMI ₹7,579/m*"  ,₹1.61 lakh     ,
2012 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,76.89k km  ,Petrol    ,Manual       ,"EMI ₹12,522/m*" ,₹2.66 lakh     ,
2011 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,87.00k km  ,Petrol    ,Manual       ,"EMI ₹16,881/m*" ,₹2.00L         ,₹1.90 lakh
2016 Hyundai Verna          ,1.6 VTVT SX AT                     ,62.58k km  ,Petrol    ,Auto         ,"EMI ₹12,560/m*" ,₹6.42 lakh     ,
2024 Hyundai Creta          ,E 1.5 PETROL                       ,13.28k km  ,Petrol    ,Manual       ,"EMI ₹19,986/m*" ,₹10.50 lakh    ,
2010 Hyundai i20            ,MAGNA 1.2                          ,48.83k km  ,Petrol    ,Manual       ,₹1.36 lakh       ,₹1.36 lakh     ,
2012 Hyundai i20            ,MAGNA 1.2                          ,87.48k km  ,Petrol    ,Manual       ,"EMI ₹6,120/m*"  ,₹1.40L         ,₹1.30 lakh
2011 Hyundai i20            ,MAGNA 1.2                          ,73.47k km  ,Petrol    ,Manual       ,"EMI ₹11,995/m*" ,₹1.35 lakh     ,
2011 Hyundai i10            ,SPORTZ 1.2                         ,44.37k km  ,Petrol    ,Manual       ,"EMI ₹13,860/m*" ,₹1.56 lakh     ,
2010 Hyundai i20            ,SPORTZ 1.2                         ,1.1L km    ,Petrol    ,Manual       ,₹1.51 lakh       ,₹1.51 lakh     ,
2017 Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,18.29k km  ,Petrol    ,Manual       ,"EMI ₹6,803/m*"  ,₹3.48 lakh     ,
2014 Hyundai Xcent          ,S 1.2                              ,98.00k km  ,Petrol    ,Manual       ,"EMI ₹8,954/m*"  ,₹3.40 lakh     ,
2012 Hyundai i20            ,SPORTZ 1.2                         ,90.77k km  ,Petrol    ,Manual       ,"EMI ₹7,532/m*"  ,₹1.60 lakh     ,
2011 Hyundai i20            ,ASTA 1.2                           ,1.4L km    ,Petrol    ,Manual       ,"EMI ₹14,660/m*" ,₹1.70L         ,₹1.65 lakh
2010 Hyundai i10            ,ASTA 1.2                           ,78.52k km  ,Petrol    ,Manual       ,₹0.97 lakh       ,₹0.97 lakh     ,
2011 Hyundai i20            ,ASTA 1.2                           ,67.55k km  ,Petrol    ,Manual       ,"EMI ₹15,815/m*" ,₹1.78 lakh     ,
2017 Hyundai Grand i10      ,SPORTZ (O) AT 1.2 KAPPA VTVT       ,42.88k km  ,Petrol    ,Auto         ,"EMI ₹5,865/m*"  ,₹3.00 lakh     ,
2021 Hyundai VENUE          ,S+ 1.2                             ,41.64k km  ,Petrol    ,Manual       ,"EMI ₹12,121/m*" ,₹6.40L         ,₹6.20 lakh
2013 Hyundai i20            ,SPORTZ 1.2                         ,76.42k km  ,Petrol    ,Manual       ,"EMI ₹7,971/m*"  ,₹2.40 lakh     ,
2010 Hyundai i10            ,SPORTZ 1.2                         ,1.0L km    ,Petrol    ,Manual       ,₹1.02 lakh       ,₹1.02 lakh     ,
2011 Hyundai i20            ,ASTA 1.2                           ,88.62k km  ,Petrol    ,Manual       ,"EMI ₹12,439/m*" ,₹1.40 lakh     ,
2013 Hyundai i20            ,ASTA 1.2                           ,82.78k km  ,Petrol    ,Manual       ,"EMI ₹6,178/m*"  ,₹1.86 lakh     ,
2013 Hyundai i20            ,MAGNA 1.2                          ,33.18k km  ,Petrol    ,Manual       ,"EMI ₹9,533/m*"  ,₹2.87 lakh     ,
2013 Hyundai i20            ,ASTA 1.2                           ,80.29k km  ,Petrol    ,Manual       ,"EMI ₹9,034/m*"  ,₹2.72 lakh     ,
2010 Hyundai i10            ,SPORTZ 1.2                         ,68.40k km  ,Petrol    ,Manual       ,₹1.21 lakh       ,₹1.21 lakh     ,
2012 Hyundai i20            ,ASTA 1.4 CRDI                      ,1.5L km    ,Diesel    ,Manual       ,"EMI ₹22,390/m*" ,₹2.52 lakh     ,
2011 Hyundai i20            ,MAGNA (O) 1.2                      ,61.11k km  ,Petrol    ,Manual       ,"EMI ₹14,571/m*" ,₹1.64 lakh     ,
2013 Hyundai i10            ,SPORTZ 1.2 AT                      ,74.28k km  ,Petrol    ,Auto         ,"EMI ₹6,444/m*"  ,₹1.94 lakh     ,
2010 Hyundai i20            ,MAGNA (O) 1.2                      ,23.52k km  ,Petrol    ,Manual       ,₹1.33 lakh       ,₹1.33 lakh     ,
2014 Hyundai i20            ,MAGNA (O) 1.2                      ,31.72k km  ,Petrol    ,Manual       ,"EMI ₹7,110/m*"  ,₹2.70 lakh     ,
2010 Hyundai i20            ,SPORTZ 1.2                         ,48.84k km  ,Petrol    ,Manual       ,₹1.28 lakh       ,₹1.28 lakh     ,
2011 Hyundai Accent         ,GLE                                ,96.08k km  ,Petrol    ,Manual       ,"EMI ₹10,751/m*" ,₹1.21 lakh     ,
2015 Hyundai Elite i20      ,SPORTZ 1.2                         ,42.15k km  ,Petrol    ,Manual       ,"EMI ₹7,296/m*"  ,₹3.28 lakh     ,
2010 Hyundai i20            ,SPORTZ 1.2                         ,82.00k km  ,Petrol    ,Manual       ,₹1.40 lakh       ,₹1.40 lakh     ,
2015 Hyundai Elite i20      ,ASTA 1.2                           ,75.83k km  ,Petrol    ,Manual       ,"EMI ₹8,297/m*"  ,₹3.73 lakh     ,
2012 Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,58.10k km  ,Petrol    ,Manual       ,"EMI ₹12,380/m*" ,₹2.63 lakh     ,
2018 Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,1.2L km    ,Petrol    ,Manual       ,"EMI ₹7,096/m*"  ,₹3.19 lakh     ,
2015 Hyundai i10            ,MAGNA 1.1                          ,62.66k km  ,Petrol    ,Manual       ,"EMI ₹6,073/m*"  ,₹2.73 lakh     ,
